name,pfam,function
TPPII_N - Tripeptidyl peptidase II N terminal,pfam12583,
Trypsin_2 - Trypsin-like peptidase domain,pfam13365,
Peptidase_M50B - Peptidase M50B-like,pfam13398,
M60-like - Peptidase M60-like family,pfam13402,virus
Peptidase_MA_2 - Peptidase MA superfamily,pfam13485,
Peptidase_C39_2 - Peptidase_C39 like family,pfam13529,modify and export antibiotics
Peptidase_M15_4 - D-alanyl-D-alanine carboxypeptidase,pfam13539,cell wall synthesis
Reprolysin_2 - Metallo-peptidase family M12B Reprolysin-like,pfam13574,
Reprolysin_3 - Metallo-peptidase family M12B Reprolysin-like,pfam13582,
Reprolysin_4 - Metallo-peptidase family M12B Reprolysin-like,pfam13583,
"Peptidase_S76 - Serine peptidase of plant viral polyprotein, P1",pfam13611,
CarboxypepD_reg - Carboxypeptidase regulatory-like domain,pfam13620,
"YkuD_2 - L,D-transpeptidase catalytic domain",pfam13645,
PepSY_2 - Peptidase propeptide and YPEB domain,pfam13670,
Peptidase_M85 - NFkB-p65-degrading zinc protease,pfam13678,
Reprolysin_5 - Metallo-peptidase family M12,pfam13688,
Peptidase_S74 - Chaperone of endosialidase,pfam13884,virus
HRXXH - Putative peptidase family,pfam13933,
Transpep_BrtH - NlpC/p60-like transpeptidase,pfam14399,peptide synthesis
Aspzincin_M35 - Lysine-specific metallo-endopeptidase,pfam14521,Digestive
Peptidase_U35_2 - Putative phage protease XkdF,pfam14550,virus
Pdase_C33_assoc - Peptidase_C33-associated domain,pfam14756,
Peptidase_M91 - Effector protein,pfam14891,
"Peptidase_C98 - Ubiquitin-specific peptidase-like, SUMO isopeptidase",pfam15499,ubiquitin modifer 
Tox-MPTase2 - Metallopeptidase toxin 2,pfam15638,
Tox-MPTase3 - Metallopeptidase toxin 3,pfam15639,
Tox-MPTase4 - Metallopeptidase toxin 4,pfam15640,
Tox-MPTase5 - Metallopeptidase toxin 5,pfam15641,
